Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
stats_boost_percent_boost_75_100                      94385.0      26.837206      7.143050     0.000000      21.802122      26.349090      31.324076  1.000000e+02
stats_movement_avg_speed                              94385.0    1520.443301     75.903622  1086.000000    1470.000000    1520.000000    1570.000000  2.159000e+03
stats_movement_total_distance                         94385.0  481481.262881  72272.241495  1959.000000  459755.000000  489713.000000  516270.000000  2.140019e+06
stats_movement_time_powerslide                        94385.0       6.370669      2.393625     0.000000       4.760000       6.140000       7.680000  4.192000e+01
stats_movement_count_powerslide                       94385.0      58.418870     23.778716     0.000000      42.000000      56.000000      72.000000  2.650000e+02
stats_movement_avg_powerslide_duration                94385.0       0.113379      0.027883     0.000000       0.100000       0.110000       0.130000  9.800000e-01
stats_movement_avg_speed_percentage                   94385.0      66.106230      3.300157    47.217392      63.913044      66.086960      68.260870  9.386957e+01
stats_movement_percent_slow_speed                     94385.0      47.086684      5.858085     0.000000      43.178580      47.024654      50.965454  7.370663e+01
stats_movement_percent_boost_speed                    94385.0      39.327235      4.089388    16.944880      36.578033      39.299890      42.056450  6.965517e+01
stats_movement_percent_supersonic_speed               94385.0      13.586081      4.153937     1.538767      10.714185      13.269341      16.116531  5.782480e+01
stats_movement_percent_ground                         94385.0      56.416719      5.002171    12.526516      53.248093      56.412540      59.602856  1.000000e+02
stats_movement_percent_low_air                        94385.0      38.222526      4.390295     0.000000      35.372290      38.160580      40.968690  8.713491e+01
stats_movement_percent_high_air                       94385.0       5.360755      2.121690     0.000000       3.867049       5.220632       6.669694  3.000323e+01
stats_positioning_avg_distance_to_ball                94385.0    2901.350522    255.958858  1667.000000    2732.000000    2890.000000    3058.000000  6.153000e+03
stats_positioning_avg_distance_to_ball_possession     94385.0    2798.477798    324.095652     0.000000    2584.000000    2788.000000    3001.000000  6.838000e+03
stats_positioning_avg_distance_to_ball_no_possession  94385.0    2991.070721    290.435806     0.000000    2799.000000    2978.000000    3166.000000  9.865000e+03
stats_positioning_avg_distance_to_mates               94385.0    3643.073656    241.974776  2051.000000    3492.000000    3642.000000    3792.000000  7.823000e+03
stats_positioning_percent_defensive_third             94385.0      48.432494      6.592188     0.000000      44.091290      48.481510      52.838333  8.030212e+01
stats_positioning_percent_offensive_third             94385.0      19.798853      4.872915     1.715439      16.449898      19.540722      22.789200  8.469435e+01
stats_positioning_percent_neutral_third               94385.0      31.768653      4.028104     5.155082      29.074827      31.703580      34.394558  6.760847e+01
stats_positioning_percent_defensive_half              94385.0      65.396977      6.255024     0.000000      61.403990      65.586730      69.683430  9.047531e+01
stats_positioning_percent_offensive_half              94385.0      34.603023      6.255024     9.524688      30.316570      34.413260      38.596004  1.000000e+02
stats_positioning_percent_behind_ball                 94385.0      71.542974      5.336008     0.000000      68.160320      71.733215      75.119380  1.000000e+02
stats_positioning_percent_infront_ball                94385.0      28.457026      5.336008     0.000000      24.880623      28.266788      31.839685  1.000000e+02
stats_positioning_percent_most_back                   94385.0      35.325515      6.576085     0.549149      31.088825      34.952680      38.940216  1.005469e+02
stats_positioning_percent_most_forward                94385.0      33.034799      6.145831     0.000000      29.045523      32.532870      36.308850  9.691096e+01
stats_positioning_percent_closest_to_ball             94385.0      33.200040      4.713481     0.000000      30.109848      32.926582      35.891630  7.463762e+01
stats_positioning_goals_against_while_last_defender   94385.0       0.802257      0.913126     0.000000       0.000000       1.000000       1.000000  8.000000e+00
stats_positioning_percent_farthest_from_ball          94385.0      35.085234      6.533164     0.000000      31.061730      34.450798      38.063793  9.750813e+01
stats_demo_inflicted                                  94385.0       0.822376      0.977157     0.000000       0.000000       1.000000       1.000000  2.000000e+01
stats_demo_taken                                      94385.0       0.969847      1.033933     0.000000       0.000000       1.000000       2.000000  1.300000e+01
tod_sin                                               94385.0      -0.565567      0.443236    -1.000000      -0.907105      -0.725725      -0.353679  9.999988e-01
tod_cos                                               94385.0       0.409143      0.562391    -1.000000       0.123529       0.584899       0.858475  1.000000e+00

--- Cluster 2 ---
                                                        count           mean            std  min            25%            50%            75%           max
team_result                                           22832.0       0.428127       0.573152  0.0       0.000000       0.000000       1.000000  2.000000e+00
overtime_seconds                                      22832.0       7.225604      68.866267  0.0       0.000000       0.000000       0.000000  3.447000e+03
stats_core_shots                                      22832.0       5.646987      14.149453  0.0       0.000000       1.000000       3.000000  1.330000e+02
stats_core_shots_against                              22832.0      18.539243      37.759396  0.0       3.000000       6.000000      10.000000  2.350000e+02
stats_core_goals                                      22832.0       0.542528       0.896772  0.0       0.000000       0.000000       1.000000  1.500000e+01
stats_core_goals_against                              22832.0       2.545375       2.151799  0.0       1.000000       2.000000       4.000000  3.700000e+01
stats_core_saves                                      22832.0       0.982787       1.392400  0.0       0.000000       1.000000       2.000000  4.100000e+01
stats_core_assists                                    22832.0       0.321128       0.626090  0.0       0.000000       0.000000       0.000000  6.000000e+00
stats_core_score                                      22832.0     269.663849     272.318665  0.0      84.000000     200.000000     368.000000  4.961000e+03
stats_core_shooting_percentage                        22832.0      20.812600      35.735907  0.0       0.000000       0.000000      33.333332  2.000000e+02
stats_boost_bpm                                       22832.0     319.507489     129.448374  0.0     280.000000     342.000000     392.000000  3.124000e+03
stats_boost_bcpm                                      22832.0     283.271176     163.826077  0.0     220.895958     326.942730     394.396550  1.564557e+03
stats_boost_avg_amount                                22832.0      48.805424      15.347612  0.0      42.747500      48.420000      53.980000  1.000000e+02
stats_boost_amount_collected                          22832.0     845.027023     602.249489  0.0     220.000000     925.000000    1305.000000  2.936000e+03
