Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
stats_boost_count_collected_big                       91781.0      17.228980      3.937325      0.000000      15.000000      17.000000      20.000000  1.000000e+02
stats_boost_count_stolen_big                          91781.0       2.765431      1.555948      0.000000       2.000000       3.000000       4.000000  1.000000e+01
stats_boost_count_collected_small                     91781.0      57.201218     13.671149      0.000000      48.000000      57.000000      66.000000  5.910000e+02
stats_boost_count_stolen_small                        91781.0      15.893104      5.390597      0.000000      12.000000      16.000000      19.000000  8.400000e+01
stats_boost_amount_overfill                           91781.0     284.949423    138.718222      0.000000     184.000000     267.000000     366.000000  1.221000e+03
stats_boost_amount_overfill_stolen                    91781.0      45.828799     46.624216      0.000000       8.000000      32.000000      70.000000  5.920000e+02
stats_boost_amount_used_while_supersonic              91781.0     225.476264    113.438613      0.000000     142.000000     211.000000     293.000000  1.240000e+03
stats_boost_percent_zero_boost                        91781.0      11.454527      4.669263      0.000000       8.113530      11.003025      14.322051  4.684357e+01
stats_boost_percent_full_boost                        91781.0      11.442884      4.923646      0.000000       7.921651      10.637710      14.033288  5.352264e+01
stats_boost_percent_boost_0_25                        91781.0      33.173508      8.392518      0.000000      27.368223      32.950428      38.714447  7.347035e+01
stats_boost_percent_boost_25_50                       91781.0      21.981534      4.746225      0.000000      18.711031      21.771206      25.043728  5.799373e+01
stats_boost_percent_boost_50_75                       91781.0      18.006094      4.672756      0.000000      14.746367      17.716846      20.962286  5.244729e+01
stats_boost_percent_boost_75_100                      91781.0      26.790924      7.137432      0.000000      21.766169      26.296305      31.269990  1.000000e+02
stats_movement_avg_speed                              91781.0    1518.471895     76.403915   1045.000000    1468.000000    1518.000000    1569.000000  2.159000e+03
stats_movement_total_distance                         91781.0  483685.433946  63860.399474  16745.000000  461022.000000  489826.000000  515783.000000  1.977448e+06
stats_movement_time_powerslide                        91781.0       6.403175      2.363372      0.000000       4.800000       6.160000       7.690000  4.192000e+01
stats_movement_count_powerslide                       91781.0      58.645537     23.501387      0.000000      42.000000      56.000000      72.000000  2.680000e+02
stats_movement_avg_powerslide_duration                91781.0       0.113583      0.028280      0.000000       0.100000       0.110000       0.130000  9.800000e-01
stats_movement_avg_speed_percentage                   91781.0      66.020517      3.321909     45.434784      63.826088      66.000000      68.217390  9.386957e+01
stats_movement_percent_slow_speed                     91781.0      47.229950      5.911903      0.162225      43.269936      47.125355      51.106613  7.635584e+01
stats_movement_percent_boost_speed                    91781.0      39.253676      4.105536     16.741575      36.508960      39.238570      41.997295  6.371215e+01
stats_movement_percent_supersonic_speed               91781.0      13.516374      4.143543      1.382102      10.654290      13.215885      16.055857  5.626883e+01
stats_movement_percent_ground                         91781.0      56.414208      5.015520     12.526516      53.221493      56.393665      59.607307  8.010060e+01
stats_movement_percent_low_air                        91781.0      38.223279      4.401193     17.968555      35.369717      38.169804      40.982130  8.713491e+01
stats_movement_percent_high_air                       91781.0       5.362513      2.111331      0.000000       3.873920       5.223404       6.672260  3.000323e+01
stats_positioning_avg_distance_to_ball                91781.0    2898.985607    256.246805   1385.000000    2729.000000    2889.000000    3057.000000  6.153000e+03
stats_positioning_avg_distance_to_ball_possession     91781.0    2797.675325    322.648458      0.000000    2583.000000    2787.000000    3001.000000  6.838000e+03
stats_positioning_avg_distance_to_ball_no_possession  91781.0    2987.951689    287.165724      0.000000    2797.000000    2976.000000    3164.000000  6.169000e+03
stats_positioning_avg_distance_to_mates               91781.0    3642.025931    240.146544   1781.000000    3492.000000    3640.000000    3790.000000  7.823000e+03
stats_positioning_percent_defensive_third             91781.0      48.588476      6.601464      0.000000      44.224823      48.609700      53.000328  9.353220e+01
stats_positioning_percent_offensive_third             91781.0      19.714165      4.863185      0.206644      16.380356      19.472986      22.711658  8.469435e+01
stats_positioning_percent_neutral_third               91781.0      31.697359      4.013525      5.155082      29.012768      31.633385      34.322563  6.760847e+01
stats_positioning_percent_defensive_half              91781.0      65.527149      6.254240     10.863324      61.522728      65.702140      69.797920  9.886610e+01
stats_positioning_percent_offensive_half              91781.0      34.472851      6.254240      1.133895      30.202087      34.297850      38.477276  8.913668e+01
stats_positioning_percent_behind_ball                 91781.0      71.587937      5.276814      0.000000      68.227264      71.768150      75.138990  1.000000e+02
stats_positioning_percent_infront_ball                91781.0      28.412063      5.276814      0.000000      24.861008      28.231842      31.772736  1.000000e+02
stats_positioning_percent_most_back                   91781.0      35.198281      6.357660      0.498366      31.072708      34.921660      38.841988  8.701966e+01
stats_positioning_percent_most_forward                91781.0      32.819850      5.914818      0.000000      28.962830      32.413208      36.129715  9.691096e+01
stats_positioning_percent_closest_to_ball             91781.0      33.130876      4.619661      0.000000      30.103184      32.902145      35.827377  7.936125e+01
stats_positioning_goals_against_while_last_defender   91781.0       0.803336      0.912769      0.000000       0.000000       1.000000       1.000000  8.000000e+00
stats_positioning_percent_farthest_from_ball          91781.0      34.812454      6.131449      6.104385      30.981731      34.352940      37.894302  9.750813e+01
stats_demo_inflicted                                  91781.0       0.819156      0.972057      0.000000       0.000000       1.000000       1.000000  2.000000e+01
stats_demo_taken                                      91781.0       0.973110      1.032526      0.000000       0.000000       1.000000       2.000000  1.300000e+01
rank_tier                                             91781.0       6.933047      9.027991      0.000000       0.000000       0.000000      18.000000  2.200000e+01
rank_division                                         91781.0       0.925475      1.365804      0.000000       0.000000       0.000000       2.000000  4.000000e+00
tod_sin                                               91781.0      -0.562940      0.444496     -1.000000      -0.905815      -0.723118      -0.348913  9.999626e-01
tod_cos                                               91781.0       0.410225      0.563243     -1.000000       0.124828       0.586844       0.860409  1.000000e+00

--- Cluster 2 ---
                                                        count           mean            std  min            25%            50%            75%           max
team_result                                           26725.0       0.452273       0.570057  0.0       0.000000       0.000000       1.000000  2.000000e+00
team_size                                             26725.0       2.533732       0.566385  0.0       2.000000       3.000000       3.000000  4.000000e+00
duration                                              26725.0     223.708700     111.882232  0.0     147.000000     208.000000     317.000000  2.170000e+03
overtime_seconds                                      26725.0       5.390982      54.013949  0.0       0.000000       0.000000       0.000000  1.762000e+03
stats_core_shots                                      26725.0       5.159626      13.145270  0.0       0.000000       1.000000       3.000000  1.330000e+02
stats_core_shots_against                              26725.0      16.432554      35.260113  0.0       3.000000       6.000000       9.000000  2.350000e+02
stats_core_goals                                      26725.0       0.619719       0.954946  0.0       0.000000       0.000000       1.000000  1.500000e+01
stats_core_goals_against                              26725.0       2.434911       2.040802  0.0       1.000000       2.000000       4.000000  3.400000e+01
stats_core_saves                                      26725.0       0.963891       1.341319  0.0       0.000000       1.000000       1.000000  4.100000e+01
stats_core_assists                                    26725.0       0.354387       0.658968  0.0       0.000000       0.000000       1.000000  6.000000e+00
stats_core_score                                      26725.0     273.883442     260.710708  0.0      96.000000     210.000000     378.000000  4.961000e+03
stats_core_shooting_percentage                        26725.0      23.646360      37.205002  0.0       0.000000       0.000000      50.000000  2.000000e+02
stats_boost_bpm                                       26725.0     334.315023     128.198134  0.0     296.000000     356.000000     402.000000  4.297000e+03
stats_boost_bcpm                                      26725.0     306.388163     162.367465  0.0     256.946900     350.281920     413.077180  1.564557e+03
stats_boost_avg_amount                                26725.0      48.637731      14.349512  0.0      43.020000      48.290000      53.550000  1.000000e+02
stats_boost_amount_collected                          26725.0     900.277456     587.968272  0.0     404.000000     991.000000    1331.000000  2.936000e+03
stats_boost_amount_stolen                             26725.0     139.559813     118.727339  0.0      24.000000     129.000000     222.000000  6.520000e+02
stats_boost_amount_collected_big                      26725.0     578.777886     413.783567  0.0     120.000000     642.000000     895.000000  1.945000e+03
stats_boost_amount_stolen_big                         26725.0      74.197605      89.111521  0.0       0.000000      50.000000     100.000000  5.380000e+02
stats_boost_amount_collected_small                    26725.0     321.499570     358.195262  0.0     107.000000     277.000000     415.000000  2.936000e+03
stats_boost_amount_stolen_small                       26725.0      65.362208      54.394038  0.0      12.000000      60.000000     100.000000  5.380000e+02
stats_boost_count_collected_big                       26725.0       6.989747       5.007886  0.0       2.000000       8.000000      11.000000  2.600000e+01
stats_boost_count_stolen_big                          26725.0       0.904808       1.057539  0.0       0.000000       1.000000       2.000000  8.000000e+00
stats_boost_count_collected_small                     26725.0      23.938036      17.342937  0.0       9.000000      24.000000      36.000000  2.430000e+02
stats_boost_count_stolen_small                        26725.0       5.688606       4.545355  0.0       2.000000       5.000000       9.000000  4.700000e+01
stats_boost_amount_overfill                           26725.0     116.078690     113.138140  0.0      13.000000      94.000000     182.000000  8.360000e+02
stats_boost_amount_overfill_stolen                    26725.0      15.401235      28.549431  0.0       0.000000       0.000000      17.000000  3.010000e+02
stats_boost_amount_used_while_supersonic              26725.0      97.438503      81.325086  0.0      34.000000      84.000000     143.000000  1.218000e+03
stats_boost_percent_zero_boost                        26725.0       9.664312       7.417862  0.0       3.951865       9.142452      13.914817  7.181162e+01
stats_boost_percent_full_boost                        26725.0      11.364186       7.589137  0.0       6.486572      10.522279      15.295970  8.363324e+01
stats_boost_percent_boost_0_25                        26725.0      30.633981      15.936605  0.0      22.002360      30.886862      39.282250  1.000000e+02
stats_boost_percent_boost_25_50                       26725.0      22.559439      11.139955  0.0      17.590760      22.690495      27.906097  1.000000e+02
stats_boost_percent_boost_50_75                       26725.0      16.392289       9.090271  0.0      11.201906      16.181738      21.641293  1.000000e+02
stats_boost_percent_boost_75_100                      26725.0      24.262747      12.481597  0.0      17.504633      24.481780      31.544485  1.000000e+02
stats_movement_avg_speed                              26725.0    1404.912030     274.898741  0.0    1365.000000    1454.000000    1533.000000  2.228000e+03
stats_movement_total_distance                         26725.0  262527.618559  138338.981239  0.0  177775.000000  257051.000000  362300.000000  1.216274e+06
stats_movement_time_powerslide                        26725.0       3.315205       2.539126  0.0       1.690000       2.970000       4.500000  1.041600e+02
stats_movement_count_powerslide                       26725.0      27.161684      18.597048  0.0      14.000000      25.000000      37.000000  1.760000e+02
stats_movement_avg_powerslide_duration                26725.0       0.123495       0.080991  0.0       0.100000       0.120000       0.140000  3.590000e+00
stats_movement_avg_speed_percentage                   26725.0      61.083132      11.952119  0.0      59.347828      63.217392      66.652176  9.686957e+01
stats_movement_percent_slow_speed                     26725.0      53.530873      13.392915  0.0      47.048763      52.646435      59.311535  1.000000e+02
stats_movement_percent_boost_speed                    26725.0      33.718456       9.253084  0.0      30.920769      35.189550      38.948547  1.000000e+02
stats_movement_percent_supersonic_speed               26725.0      11.081822       6.113252  0.0       7.033099      10.697564      14.690880  8.139535e+01
